,Fe,Ni,Cu,Zn,Zr,Ag,Ag,Cd,Cd,Sn,Sn,Sb,Sb,Pb,Pb
Shell,K12,K12,K12,K12,K12,K12,L1,K12,L1,K12,L1,K12,L1,L1,M1
86W-8ES1-037-001_leadball-15mm_,18499,114,2012,802,3832,4466,1156,17941,0,3853,-1,-7,402,2381851,16607
17L-6568-001_leadball-13mm-spen,23268,160,2028,935,4416,4766,1365,18489,0,4352,0,3,1003,2395509,15105
17L-5743-006_leadball-12mm_spen,21923,106,3250,745,4439,4457,1330,17446,0,3539,0,-13,219,2349637,12089
16L-3746-001_leadball-13mm_40v_,9126,1,5793,1036,3793,3565,1201,12474,0,2597,0,-6,569,2064305,18470
16L-3431-003_leadball-14mm_40v_,14389,859,2897,1983,3755,4306,1332,14766,0,2904,0,-17,340,2204737,16333
17L-7021-001_leadball-8mm_40v_2,15521,184,2062,686,2728,2307,1453,6377,0,1492,0,9,325,1542362,9316
17L-7015-003_leadball-7mm_40v_2,8347,88,1904,784,2422,2033,1578,4872,0,1164,0,37,235,1340572,9490
17L-7011-001_leadball-8mm_40v_2,16836,221,2368,650,3619,2717,1612,7431,0,1478,0,30,148,1600922,9716
17L-7002-008_leadball-8mm_40v_2,11778,45,1846,487,2888,2494,1671,6288,0,1066,0,-2,646,1481688,10478
17L-7001-001_leadball-8mm_40v_2,20546,231,2142,718,3135,2677,1707,6985,0,1359,0,6,339,1580242,7854
17L-5998-001_leadball-8mm_40v_2,9704,329,1871,484,2813,2667,1440,6519,0,1334,1,0,244,1543624,12330
17L-5917-001_leadball-8mm_40v_2,8302,49,1832,944,2657,2642,1354,7404,0,1325,0,0,357,1652683,14512
17L-5819-001_leadball-8mm_40v_2,18233,141,3604,738,3126,2726,1502,8481,0,1509,0,-11,319,1733247,9347
17L-5798-002_leadball-8mm_40v_2,19382,285,3687,752,3269,3271,1438,9333,0,1608,0,9,2345,1825346,11601
17L-5745-002_leadball-8mm_40v_2,34053,220,2205,1472,2872,2509,1486,5950,0,1367,0,-3,288,1445524,8518
17L-5659-002_leadball-8mm_40v_2,12008,155,2449,560,2813,2354,1472,6479,0,1264,-1,-8,157,1521688,10124
17L-5657-001_leadball-8mm_40v_2,17538,1,2017,866,2962,2405,1591,6014,0,1427,0,5,262,1495151,7317
17L-5647-008_leadball-8mm_40v_2,25508,179,2480,876,3039,2963,1711,6518,0,1230,0,4,427,1505870,6783
17L-5619-001_leadball-8mm_spent,23023,211,2291,2092,4076,4389,1219,16089,0,3196,0,12,370,2281462,14516
17L-6074-014_leadball-4mm-b_40v,22024,75,1412,1227,2809,985,1971,1020,0,108,0,-7,283,568562,1366
17L-6074-014_leadball-4mm-a_40v,9594,183,1597,815,1619,1304,1621,2005,0,238,0,-7,336,841478,4844
17L-6068-022_leadball-4mm-f_40v,12561,29,1344,802,1543,1118,1735,2026,0,357,0,9,269,835911,6081
17L-6068-022_leadball-4mm-e_40v,34022,116,1669,1958,3045,1266,1944,1544,0,178,0,-13,206,724383,940
17L-6068-022_leadball-4mm-d_40v,51532,72,1371,2130,7105,1244,2334,1176,0,167,0,23,352,522902,305
17L-6068-022_leadball-4mm-c_40v,29804,106,1416,1186,2404,1229,1926,1440,0,128,0,-1,374,649735,1183
