Al,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Br,Sr,Zr,Nb,Cd,Cd.1,Sn,Sn.1,Pb,Pb.1,Site,cluster
4333,68371,3427,1,1,2971,128474,3101,15203,1380372,5203,6328,13360,1199,5591,80270,3015,3358,7597,1581,1602,3427,1444,1,4
4509,79921,2144,1,1,7400,145128,5905,17946,1018834,7239,7936,12500,1099,7980,53726,5256,3626,8640,1166,3040,4639,1361,1,85
3257,77313,2163,1,1,3336,156075,4016,10261,860063,6756,7199,4248,1607,6697,50673,4056,4130,8514,2148,2110,4943,1090,1,92
4548,66791,1830,1,1,1578,117219,4256,24173,776013,7513,8179,3423,2242,4606,46664,2760,4172,9677,1996,1663,4062,1382,1,98
3087,92876,1730,1,1,24,118097,2308,24020,827513,6250,6405,3108,1284,4145,89797,3329,4015,9865,1752,1327,5393,1265,1,100
6068,67104,1135,1,1,7999,139968,4199,28986,1548645,5797,5027,5212,2230,13619,91473,3097,3400,9882,1711,3243,4262,1345,1,15
4210,47601,1903,1,30051,8,109820,10119,20790,1705765,4776,5297,9904,949,33048,50698,5249,2988,24402,1971,5248,3187,1369,1,17
5004,75599,2264,1,1,3587,120369,4784,26018,1395213,5651,6912,4359,2964,6111,53502,3185,2946,7877,2065,1825,3761,1472,1,5
5123,61584,1142,1,1,4304,81842,6866,16599,1656694,5175,6814,12358,914,6262,34998,5991,3845,9830,1571,3005,4323,1237,1,18
3877,63187,2653,1,1,451,130783,3342,47363,1559486,5362,7266,4216,1352,4222,103356,3744,4134,11793,1550,1669,3295,1414,1,16
3441,49121,1908,1,5123,1388,126299,8692,16738,1438278,4793,5720,7354,1879,13995,55473,6527,3612,18998,1523,3128,2869,1019,1,6
2844,69271,3631,1,0,3671,135498,4092,19188,1095552,4410,5986,4936,2028,8100,71628,3093,3632,6916,1539,1811,3246,1288,1,77
5015,62337,3263,1,4238,1620,139119,8751,21756,1203657,5812,5795,11719,2843,14806,63682,2699,2924,17827,689,3648,5044,1572,1,64
3481,71689,4224,1,1,1067,161404,4304,17468,856395,6409,6190,4522,1950,19512,59106,2737,2816,7613,1839,1769,4876,1537,1,93
4385,66754,1946,1,0,2433,149935,3994,25775,1203471,6312,6488,3482,2322,6368,91052,3258,2989,6880,1013,1993,5635,1252,1,60
3754,70728,2365,1,0,3107,135311,2779,15930,1129198,5586,3984,2859,1220,19198,67978,2857,3712,6357,1647,1655,4657,1490,1,79
3673,72238,4603,1,0,1512,157840,3623,19921,1220935,5674,6257,3317,2697,6705,71262,3217,4033,6437,1752,1420,4314,1282,1,62
4480,61241,427,1,0,2769,129407,3064,13197,984169,4256,4141,3776,1310,9402,75649,2757,2377,7122,1186,1241,4105,1553,1,82
5357,71075,1571,1,0,3402,151502,3719,18827,1429505,5225,4805,3260,1381,11738,85011,3139,3801,6678,1596,1704,3594,1295,1,7
6282,67667,382,1,1,7473,121504,4582,22546,1628228,5496,5198,5505,1121,13143,68204,3597,3374,7975,2236,2526,4122,1360,1,13
5102,71017,2285,1,1,3196,134299,3823,42227,852045,5112,5961,5407,2611,6148,53948,3669,3700,7769,1466,1993,5584,1634,1,94
4688,66688,2230,1,1,5532,138516,2622,67317,1241264,4507,5858,3744,1371,5240,66490,2963,3438,7308,2052,2221,4365,1527,1,67
3504,73854,4388,1,1,1804,159335,2382,44108,1190284,5531,5407,5782,1400,8399,83804,2945,3378,7277,1708,1883,4464,1057,1,61
3895,72228,2250,1,1,1930,152153,3576,24728,1506447,4778,5814,5400,1487,5037,86423,3711,3562,8454,2003,2127,4685,1569,1,8
3777,64143,4119,1,0,4529,158089,4225,29398,1225965,6614,6220,5192,1925,8660,78862,3523,2343,6246,1480,2087,4972,1324,1,63
4010,88160,1865,1,1,803,179377,3448,23049,970120,6023,6040,3666,2909,5513,90767,3043,2658,9565,1830,1874,6387,1750,1,89
3851,59850,2994,1,1,3297,173079,3460,29797,1490563,5868,6365,3061,1773,6914,77537,3281,2750,7718,1318,2188,4348,1466,1,10
4200,47741,1078,1,2948,3058,114138,5103,20639,2469702,4099,5729,7945,2263,4409,26837,3294,2444,16056,1876,2967,3156,983,1,3
3945,63784,1643,1,1,1834,144296,4170,26500,742430,6952,6123,5174,2170,4965,60824,3991,3992,9039,1591,1716,3959,1455,1,43
4169,52774,1694,1,1,5131,139795,3717,21408,1706978,4904,6993,4257,694,7478,62506,3268,3097,7253,1388,2270,3832,1443,1,19
